PAC,province,city,county
510100,四川省,成都市,
510104,四川省,成都市,锦江区
510105,四川省,成都市,青羊区
510106,四川省,成都市,金牛区
510107,四川省,成都市,武侯区
510108,四川省,成都市,成华区
510112,四川省,成都市,龙泉驿区
510113,四川省,成都市,青白江区
510114,四川省,成都市,新都区
510115,四川省,成都市,温江区
510116,四川省,成都市,双流区
510117,四川省,成都市,郫都区
510118,四川省,成都市,新津区
510121,四川省,成都市,金堂县
510129,四川省,成都市,大邑县
510131,四川省,成都市,蒲江县
510181,四川省,成都市,都江堰市
510182,四川省,成都市,彭州市
510183,四川省,成都市,邛崃市
510184,四川省,成都市,崇州市
510185,四川省,成都市,简阳市
510300,四川省,自贡市,
510302,四川省,自贡市,自流井区
510303,四川省,自贡市,贡井区
510304,四川省,自贡市,大安区
510311,四川省,自贡市,沿滩区
510321,四川省,自贡市,荣县
510322,四川省,自贡市,富顺县
510400,四川省,攀枝花市,
510402,四川省,攀枝花市,东区
510403,四川省,攀枝花市,西区
510411,四川省,攀枝花市,仁和区
510421,四川省,攀枝花市,米易县
510422,四川省,攀枝花市,盐边县
510500,四川省,泸州市,
510502,四川省,泸州市,江阳区
510503,四川省,泸州市,纳溪区
510504,四川省,泸州市,龙马潭区
510521,四川省,泸州市,泸县
510522,四川省,泸州市,合江县
510524,四川省,泸州市,叙永县
510525,四川省,泸州市,古蔺县
510600,四川省,德阳市,
510603,四川省,德阳市,旌阳区
510604,四川省,德阳市,罗江区
510623,四川省,德阳市,中江县
510681,四川省,德阳市,广汉市
510682,四川省,德阳市,什邡市
510683,四川省,德阳市,绵竹市
510700,四川省,绵阳市,
510703,四川省,绵阳市,涪城区
510704,四川省,绵阳市,游仙区
510705,四川省,绵阳市,安州区
510722,四川省,绵阳市,三台县
510723,四川省,绵阳市,盐亭县
510725,四川省,绵阳市,梓潼县
510726,四川省,绵阳市,北川羌族自治县
510727,四川省,绵阳市,平武县
510781,四川省,绵阳市,江油市
510800,四川省,广元市,
510802,四川省,广元市,利州区
510811,四川省,广元市,昭化区
510812,四川省,广元市,朝天区
510821,四川省,广元市,旺苍县
510822,四川省,广元市,青川县
510823,四川省,广元市,剑阁县
510824,四川省,广元市,苍溪县
510900,四川省,遂宁市,
510903,四川省,遂宁市,船山区
510904,四川省,遂宁市,安居区
510921,四川省,遂宁市,蓬溪县
510923,四川省,遂宁市,大英县
510981,四川省,遂宁市,射洪市
511000,四川省,内江市,
511002,四川省,内江市,市中区
511011,四川省,内江市,东兴区
511024,四川省,内江市,威远县
511025,四川省,内江市,资中县
511083,四川省,内江市,隆昌市
511100,四川省,乐山市,
511102,四川省,乐山市,市中区
511111,四川省,乐山市,沙湾区
511112,四川省,乐山市,五通桥区
511113,四川省,乐山市,金口河区
511123,四川省,乐山市,犍为县
511124,四川省,乐山市,井研县
511126,四川省,乐山市,夹江县
511129,四川省,乐山市,沐川县
511132,四川省,乐山市,峨边彝族自治县
511133,四川省,乐山市,马边彝族自治县
511181,四川省,乐山市,峨眉山市
511300,四川省,南充市,
511302,四川省,南充市,顺庆区
511303,四川省,南充市,高坪区
511304,四川省,南充市,嘉陵区
511321,四川省,南充市,南部县
511322,四川省,南充市,营山县
511323,四川省,南充市,蓬安县
511324,四川省,南充市,仪陇县
511325,四川省,南充市,西充县
511381,四川省,南充市,阆中市
511400,四川省,眉山市,
511402,四川省,眉山市,东坡区
511403,四川省,眉山市,彭山区
511421,四川省,眉山市,仁寿县
511423,四川省,眉山市,洪雅县
511424,四川省,眉山市,丹棱县
511425,四川省,眉山市,青神县
511500,四川省,宜宾市,
511502,四川省,宜宾市,翠屏区
511503,四川省,宜宾市,南溪区
511504,四川省,宜宾市,叙州区
511523,四川省,宜宾市,江安县
511524,四川省,宜宾市,长宁县
511525,四川省,宜宾市,高县
511526,四川省,宜宾市,珙县
511527,四川省,宜宾市,筠连县
511528,四川省,宜宾市,兴文县
511529,四川省,宜宾市,屏山县
511600,四川省,广安市,
511602,四川省,广安市,广安区
511603,四川省,广安市,前锋区
511621,四川省,广安市,岳池县
511622,四川省,广安市,武胜县
511623,四川省,广安市,邻水县
511681,四川省,广安市,华蓥市
511700,四川省,达州市,
511702,四川省,达州市,通川区
511703,四川省,达州市,达川区
511722,四川省,达州市,宣汉县
511723,四川省,达州市,开江县
511724,四川省,达州市,大竹县
511725,四川省,达州市,渠县
511781,四川省,达州市,万源市
511800,四川省,雅安市,
511802,四川省,雅安市,雨城区
