NAME,PAC
成都,510100
自贡,510300
攀枝花,510400
泸州,510500
德阳,510600
绵阳,510700
广元,510800
遂宁,510900
内江,511000
乐山,511100
南充,511300
眉山,511400
宜宾,511500
广安,511600
达州,511700
雅安,511800
巴中,511901
资阳,512000
阿坝,513200
甘孜,513300
凉山,513400
重庆,500100
锦江,510104
东城,510104
青羊,510105
西城,510105
金牛,510106
武侯,510107
成华,510108
龙泉驿,510112
青白江,510113
新都,510114
温江,510115
双流,510116
郫都,510117
郫县,510117
新津,510118
金堂,510121
大邑,510129
蒲江,510131
都江堰,510181
灌县,510181
彭州,510182
彭县,510182
邛崃,510183
崇州,510184
崇庆,510184
简阳,510185
自流井,510302
贡井,510303
大安,510304
沿滩,510311
荣县,510321
富顺,510322
东区,510402
西区,510403
仁和,510411
米易,510421
盐边,510422
江阳,510502
纳溪,510503
龙马潭,510504
泸县,510521
合江,510522
叙永,510524
古蔺,510525
旌阳,510603
罗江,510604
中江,510623
广汉,510681
什邡,510682
绵竹,510683
涪城,510703
游仙,510704
安州,510705
安县,510705
三台,510722
盐亭,510723
梓潼,510725
北川,510726
平武,510727
江油,510781
利州,510802
昭化,510811
朝天,510812
旺苍,510821
青川,510822
剑阁,510823
苍溪,510824
船山,510903
安居,510904
蓬溪,510921
大英,510923
射洪,510981
市中,511002
东兴,511011
威远,511024
资中,511025
隆昌,511083
市中,511102
沙湾,511111
五通桥,511112
金口河,511113
犍为,511123
井研,511124
夹江,511126
沐川,511129
峨边,511132
马边,511133
峨眉山,511181
顺庆,511302
高坪,511303
嘉陵,511304
南部,511321
营山,511322
蓬安,511323
仪陇,511324
西充,511325
阆中,511381
东坡,511402
彭山,511403
仁寿,511421
洪雅,511423
丹棱,511424
青神,511425
翠屏,511502
南溪,511503
叙州,511504
江安,511523
长宁,511524
高县,511525
珙县,511526
筠连,511527
兴文,511528
屏山,511529
广安,511602
前锋,511603
岳池,511621
武胜,511622
邻水,511623
华蓥,511681
华云,511681
通川,511702
达川,511703
宣汉,511722
开江,511723
大竹,511724
渠县,511725
万源,511781
白沙,511781
雨城,511802
名山,511803
荥经,511822
汉源,511823
石棉,511824
天全,511825
芦山,511826
宝兴,511827
巴州,511902
恩阳,511903
通江,511921
南江,511922
平昌,511923
雁江,512002
安岳,512021
乐至,512022
马尔康,513201
汶川,513221
理县,513222
茂县,513223
茂汶,513223
松潘,513224
南坪,513225
九寨沟,513225
金川,513226
小金,513227
黑水,513228
壤塘,513230
阿坝,513231
若尔盖,513232
红原,513233
康定,513301
泸定,513322
丹巴,513323
九龙,513324
雅江,513325
道孚,513326
炉霍,513327
甘孜,513328
新龙,513329
德格,513330
白玉,513331
石渠,513332
色达,513333
理塘,513334
巴塘,513335
乡城,513336
稻城,513337
得荣,513338
西昌,513401
木里,513422
盐源,513423
德昌,513424
会理,513402
会东,513426
宁南,513427
普格,513428
布拖,513429
金阳,513430
昭觉,513431
喜德,513432
冕宁,513433
越西,513434
甘洛,513435
美姑,513436
雷波,513437
万州,500101
万县,500101
涪陵,500102
渝中,500103
大渡口,500104
江北,500105
沙坪坝,500106
九龙坡,500107
南岸,500108
北碚,500109
綦江,500110
万盛,500110
大足,500111
双桥,500111
渝北,500112
巴南,500113
黔江,500114
长寿,500115
江津,500116
合川,500117
永川,500118
南川,500119
璧山,500120
铜梁,500151
潼南,500152
荣昌,500153
开州,500154
开县,500154
梁平,500155
武隆,500156
城口,500229
丰都,500230
垫江,500231
忠县,500233
云阳,500235
奉节,500236
巫山,500237
巫溪,500238
石柱,500240
秀山,500241
酉阳,500242
彭水,500243
